Location,Unnamed: 0,Dist_Per_100K,Admin_Per_100K,Admin_Per_100k_5Plus,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Per_Capita_Income_(2022),Political_Leaning,Politcal_Leaning_refined,MedianAge
AK,0,5526870,3425225,3656176,3918368,4029983,5912717,68919,Republican,1,34.6
AL,1,4716121,2707481,2873072,3100400,3236810,4991355,50637,Republican,1,39.2
AR,2,5192754,3053550,3244453,3488885,3619142,5427420,51787,Republican,1,38.3
AZ,3,5107464,3789100,4006981,4256413,4367750,6415342,56667,Swing State,2,37.9
CA,4,5718367,4222979,4459859,4722302,4824204,6536206,77339,Democrat,3,36.7
CO,5,5742468,4263651,4481498,4736089,4868306,7082981,74167,Democrat,3,36.9
CT,6,6242098,4789603,5014304,5265786,5381946,7431091,84972,Democrat,3,41.1
DE,7,6389169,4211468,4438446,4704270,4826086,7092278,61387,Democrat,3,41.0
FL,8,5351068,3713945,3913709,4165151,4288331,6106445,63597,Swing State,2,42.2
GA,9,5054111,3044756,3231436,3476942,3618021,5477800,57129,Swing State,2,36.9
HI,10,6129870,4691210,4959804,5232286,5316687,6965967,61175,Democrat,3,39.4
IA,11,5544773,3668958,3885620,4158868,4328443,6860843,54537,Republican,1,38.3
ID,12,4962177,3053502,3251767,3533491,3726204,5961252,68822,Democrat,3,36.6
IL,13,5641204,4000449,4217966,4446185,4566471,6407973,57930,Republican,1,38.3
IN,14,5238457,3140076,3333967,3576341,3727894,5968184,58905,Republican,1,37.8
KS,15,5343168,3488918,3697350,3963768,4106711,6308143,60152,Republican,1,36.9
KY,16,5086200,3178085,3370197,3613824,3759961,5708624,52109,Republican,1,39.0
LA,17,4151203,2832104,3021755,3276804,3422502,5326890,54622,Republican,1,37.2
MA,18,6409907,4971245,5194110,5400899,5490932,7358265,84945,Democrat,3,39.6
MD,19,6888849,4591867,4839219,5095250,5189459,7124506,70730,Democrat,3,38.8
ME,20,6879145,4960571,5166858,5401934,5540158,7923027,59463,Democrat,3,44.8
MI,21,5521631,3540388,3736795,3967771,4116990,6228779,56813,Swing State,2,39.8
MN,22,6094026,4284444,4518857,4780834,4934563,7451338,68010,Swing State,2,38.1
MO,23,4769354,3234575,3418726,3656064,3798636,5815192,56551,Republican,1,38.7
MS,24,4558314,2736900,2912212,3156318,3304148,5184926,46248,Republican,1,37.7
MT,25,4751336,3305332,3489076,3721632,3859812,5942658,57719,Republican,1,40.1
NC,26,5386794,3514261,3708255,3939609,4069896,6073238,57416,Swing State,2,38.9
ND,27,4668558,3254954,3474296,3717789,3850089,6102449,66184,Republican,1,35.2
NE,28,5282795,3725516,3968527,4255122,4414875,6737850,63321,Republican,1,36.6
NH,29,7007591,4131918,4311238,4533723,4643655,6767950,74663,Democrat,3,43.0
NJ,30,6216110,4218893,4454813,4713635,4824960,6241246,78700,Democrat,3,40.0
NM,31,5498986,4269466,4504493,4792200,4935164,6808159,51500,Democrat,3,38.1
NV,32,4688371,3429006,3639052,3911716,4042099,5721615,78089,Democrat,3,38.2
NY,33,5889732,4386609,4630068,4885375,4993111,6298821,61282,Swing State,2,39.0
OH,34,5052802,3407514,3597224,3835112,3987416,6147447,57880,Swing State,2,39.5
OK,35,4581363,3234567,3447917,3742600,3904866,5923462,54998,Republican,1,36.7
OR,36,6256102,4192881,4401622,4638785,4751977,6606144,62767,Democrat,3,39.5
PA,37,6220373,4056700,4257884,4490097,4618980,6672372,65167,Swing State,2,40.9
RI,38,6217436,4752945,4978320,5209845,5316559,7384036,65377,Democrat,3,40.0
SC,39,5144756,3181400,3359057,3597619,3735196,5788521,53320,Republican,1,39.7
SD,40,5695525,3604060,3847854,4130486,4286672,6585818,65806,Republican,1,37.2
TN,41,4704708,3131304,3318824,3568142,3728237,5829173,58279,Republican,1,38.8
TX,42,5199371,3414244,3646391,3906046,4008497,5772683,61985,Republican,1,34.8
UT,43,4910172,3626370,3896325,4228199,4393889,6681447,57925,Republican,1,31.1
VA,44,5862495,4334628,4568758,4805895,4907741,6861352,68211,Democrat,3,42.8
VT,45,7695292,5315292,5511186,5694197,5775788,8161611,63206,Democrat,3,38.4
WA,46,6235155,4380116,4612298,4872470,4990772,7068437,75698,Democrat,3,37.8
WI,47,5272159,4031070,4242485,4503631,4666916,7315715,61210,Swing State,2,42.7
WV,48,5745845,3273093,3444242,3685943,3828167,5592535,49169,Republican,1,39.6
WY,49,4151635,2790420,2960639,3205279,3360399,5418906,71342,Republican,1,38.0
